F_UserName,User_nIdx,F_Comment,Comment_nIdx
掰筷子,1406,此刻正是，中奖之时！  ,1001
鸩约QwQ,2268,嘛，我只是想说期待……[太开心]  ,1002
包卷小寻子,2551,能预约的地方除了米哈社斗抢了pwq 拼命也要抢到资格,1003
提尔乌斯,1,加油米哈游，期待能有好玩的新作[哈哈]！希望你们不要让我们失望啊[赞]！,1004
chelly丶,199,  ,1005
QQ08097,2243,  求欧！！！！！！,1006
Popure_,443,  原神（-HYZX-）,1007
狭缝中的光芒,2563,  期待期待(๑˙ー˙๑)  ,1008
狭缝中的光芒,2563, ,1009
穿刺术,1457, ,1010
御坂1998,1639,真尼玛恶臭 策划本来就恶心了，游戏还继续出更恶心的,1011
一身肝的兔,2543,好期待……,1012
我不是你的可爱吗,2373, ,1013
即将燃尽的红莲,1461,  只想要测试资格,1014
上官猫夏,1769,没有原神玩我要死了,1015
EVAN_030,1207,抽奖送啥ps呀，送ns才对[doge],1016
Beloved_Blood,616,  能给个测试的机会吗,1017
绘魔贱,2199,反正，我挺想玩的~,1018
孤剑丶kkk,2023,  中中中！,1019
孤剑丶kkk,2023,  中中中！！！！！！,1020
林壑敛瞑色,1630,卑微仔需要拥有姓名,1021
coco星星星冰乐,198,恶心,1022
Lemon-小猴子,579,  [二哈],1023
進擊的暖寶寶-T_T,165,  ,1024
-akiiiiiiiiii-,603,[费解]塞尔达vs原神在线找不同,1025
泥鱼龙最粪,1867,抄袭的辣鸡[鸡],1026
poi的提督,1624,  =W=rua~！,1027
闇黑猫,1606,好兴奋哦，mihoyo又出新游了。,1028
Dark逆,646,万一中了呢  ,1029
无脑六,609,没有美术基础的人真可怜呀，这都能看成既视感,1030
渐行渐近近个锤子,488,在座的各位快醒醒，他们PV是故意剪成这样的，这样做传播广反响大，能吸引一大波猎奇群众围观下载呢。这就是我国的基本国情呀，你们在下面骂他，他都有脸抄了还怕你这两句口水？不光脸不红，心里还美滋滋，甚至想要多雇一些水军来骂自己,1031
小悦爱吃甜食,1180,派蒙好可爱[喵喵],1032
AmIlyIsA__GEmINI,1294,来了老弟！,1033
还是喜欢七只假爱豆,190,看吐了[吐],1034
shark赛高,2538,我从来都没有参加过测试服，救救孩子吧QAQ,1035
向着太阳奔跑吧,401,这游戏有单机版吗？或者可以不联网组队自己玩 ,1036
狠狠的把id给,1375,要不是米哈游出原神，任天堂能急得拿出botw的新pv吗？？还不谢谢大伟？[doge],1037
林林林有雪,1811,  中奖绝缘体[允悲][泪],1038
快点多谢甘楽哥啦,185,[嘻嘻]大家别这样 这烂公司你不让它抄 它能做出个屌游戏来 是吧 人家摆明了割韭菜钱,1039
一名强者,384,还是看最终游戏素质吧 不过这个画风不是我的菜先观望 如果有氪金抽系统 就不玩了 买断制可以考虑,1040
容我时醒时醉,1869,  ,1041
雪盖乌龙茶,1732,抽我抽我！,1042
itharius-,2478, ,1043
世事怎抵清宵梦境,1617,所以这到底是个什么端的游戏啊？手游？,1044
沈阳窦唯,2380,博一博单车变摩托[汗][汗],1045
Arceus-mega,1301,美术风格，先不说....你这个pv怎么....和塞尔达的pv这么像啊？,1046
易超,793,来围观抄袭塞尔达的游戏 ,1047
也就那样丶丶,1103,抄袭[微笑],1048
qwepoizxcmnbv,1845,在？塞尔达出续作了[太开心],1049
DaftStone,412,  安排,1050
想要有只喵小,1295,[doge]你这个pv过分了啊 dn既视感,1051
猫的摇篮-伪物,2,你们抄的原作要出续作了，你们的原神续作可以安排上啦[doge],1052
粥八粥,1808,你有事吗，滑翔翼两边两条风都要抄，你这不是斗篷吗滑得起来吗，还有攀爬动作，都是微微弓起背部；甚至最开始那句‘醒一醒’都一样，加上场景设定，完全就是抄袭，你不怕被告吗。你家是不是人手一个switch？,1053
让世界变得更热闹吧,1061,  ,1054
今天就是讲究人,2531,塞尔达续作的预告出来了，赶紧去抄..啊不“借鉴”啊！,1055
WeRjo,755,为什么不送switch,1056
满岛黑黑黑,2326,  ,1057
二十三年雨,1719,  ,1058
MuteANDowl,1576,送ps4pro是最骚的，无内鬼主页来点原神嘴臭[嘻嘻][嘻嘻][嘻嘻],1059
呆头虎虎,1430,服了,1060
見光死的智障,873,来都来了，吐口痰再走吧,1061
RDJJJJJJ,1042,一等奖为什么不送ns？瞧不起ns？,1062
大尾拟八哥,726,臭不要脸,1063
秦岭秋风i,1625,旷野之息出续作了 您呢[嘻嘻][嘻嘻],1064
正念训练学员,849,你就是塞尔达续作？,1065
比赤色更红,2633,没想到吧，我出2了，继续抄啊,1066
悠幽唐人,2040,续作还抄吗？弟弟,1067
打游戏的小李,302,  来呀,1068
注销990011232,392,原神！   ,1069
林焕_然一新,2483,育碧或成为最大赢家[doge],1070
二三六猫眼,1754,  你这id不吉利啊！,1071
落鲸遗年,2204,不违法，不道德！丢脸！[吐],1072
Super王木木,580,如果没有塞尔达好玩，会被怼死吧。[汗],1073
玉笛褚,2065,画风这种东西有专利么，那各个国家的画师不都可以申请了么[二哈]，等游戏出来再喷不行么……,1074
昊哥昊哥耗,638,真实,1075
花盆栽柳树谁也拦不住,3285,国内厂商总以为玩家是傻子，东抄抄西抄抄就能出来骗钱[微笑]然而事实是，国内很大一部分玩家确实是傻子[可爱],1076
亿个糖果,2508,我觉得cv很ok[OK]虽然其他大型游戏都没玩过……[憧憬]从育碧球推荐来的[憧憬][憧憬][憧憬]很期待,1077
别说了蚌埠住了,2208,  [doge][doge],1078
多啦Li萌,675,  ,1079
絮语风尘,1723,冲冲冲,1080
抗压吧吧务团队10086,1653,z？我只要个测试邀请码就ok了，毕竟那么多人骂抄袭我相信肯定不会有什么人玩，与其这样不如把邀请码给我，让我来试一下毒，真的。,1081
人群中的小黑,1593, ,1082
报于桃花,2210,  ,1083
梦想就是这只肥鸟,671,在哪申请内测？,1084
Centity,876, ,1085
炯炯有神的盲果,2081,只求给一个内测资格[可怜],1086
炯炯有神的盲果,2081,永远支持你,1087
嘴臭骑士V28,1266,滚,1088
昨天炖的鱼,134,  拉低中奖率,1089
_吃货萌萌哒_,2556,抽我抽我抽,1090
不抽烟CHIRS,772,中中中,1091
Mona-忬嵐,1839,幸好有这样设备  ,1092
Mona-忬嵐,1839,幸好有了这样设备[吃瓜][吃瓜][吃瓜],1093
风咏,133,都抄袭了，还不送ns？,1094
凄凄惨惨戚戚年年朝朝暮暮,2597,  转发微博,1095
让我无法抗拒的一次旅行,2596,  转发微博,1096
他他达拉菲草莓味冰激凌凌凌凌,319,  转发微博,1097
一班萌萌哒嘴嘟嘟的幼崽,2600,  注册发,1098
萧舞,1938,加油加油加油,1099
正确的一针见血的,1905,也就微博上的评论比较正常了，米小将总部批站全是憨批在洗地[嘻嘻],1100
-TIN-,221,山寨塞尔达这个名字适合点,1101
赠与你的山茶花,1847, ,1102
鬼灬少女布狼牙,1889,还没玩到游戏就已经迫不及待的喷抄袭了我的天[允悲] 问：哪里是塞尔达玩家的交流讨论地？ 答：有关原神的视频底下，甚至国内购买了ns的玩家还多,1103
局外者动力羊,2100,  拉低中奖率,1104
你咋这么你为啥,1926,  ,1105
cbsy85417,1469,原神必死必死,1106
芬forLOVE,666,其实我是为了测试资格.......嗯，是的[馋嘴]  ,1107
花果要早睡早起,1632,今天也要痴心妄想的转发  ,1108
公子伏虎,2393,来了大伟,1109
啊烽烽烽,932,    ,1110
大侦探J,2109,游戏机[游戏手柄],1111
就是把不爱吃鱼,941,让我也做一波抽奖狗[嘻嘻]  ,1112
白米饭叔叔,1770,#转发抽奖#     求中奖。,1113
诶原来是你喔,2343,  拉低拉低拉低,1114
诶原来是你喔,2343,  拉低中奖率拉低中奖率拉低中奖率求求你们抽中我吧qaq,1115
我什么时候能遇到心软的财神爷,2383,      ,1116
蜂鸣小二,700,期待已久了，品质致胜。,1117
我真的是一只小恐龙啊,95, ,1118
我真的是一只小恐龙啊,95,  666,1119
我真的是一只小恐龙啊,95,  ,1120
小宝宝无敌了,2631,  888,1121
小宝宝无敌了,2631, ,1122
BiBYAk,2108,  ,1123
BiBYAk,2108,  ,1124
禹声魅夜,709,  ,1125
禹声魅夜,709,  ,1126
zzdisld,2404,希望中奖(๑•ั็ω•็ั๑),1127
瞌睡的貓DrowsyCat,1091,  嘿嘿嘿,1128
朱子彧2333,1564,   这个奖更大一些[doge],1129
重庆Chika酱,537,  ,1130
华紫煜hzy,2714,Ps4 pro手感是啥样的，想摸……,1131
Yan-zitiao,36,  完全模仿塞尔达，但是感觉应该还多好玩,1132
空见闻风,1722,我家没矿，可能玩不起米忽悠的游戏嗷[太开心],1133
JxmDY,57,会不会上ps4哦,1134
张吖吖吖丫,1756,  炒鸡想玩吖,1135
萌萌的小财哥丶,651,  啦啦啦啦,1136
健身环小冒险,234,塞尔达即视感？？？  ,1137
哎呀sizn,1875,  来咯，国产游戏[鼓掌],1138
-Violet_Evergarden-,659,终于等到内测了  ,1139
劳拉Candy糖糖,2214,      [给力][给力][给力][给力][给力][给力][给力],1140
瘦到100斤再改名吧,1669,我想说这看上去很像赛尔达，但又没别人做的好，出原创游戏很难吗，我看这样也不容易吧,1141
HHY12015,1840,好玩就玩，抄袭就打，等ps4版本中,1142
潼遊,2136,啪叽_(:з」∠)_，加油(ง •̀_•́)ง,1143
狼小灬灰,327,  ！！！我要,1144
燃烧de狒狒,18,我觉得我可以！  ,1145
不止夕阳近黄昏,1832,   求资格，我不管我就要玩,1146
tjdd1,1311,"   ,让我看看你运气咋样",1147
SaigusaHaruka,1030,   抽…,1148
ChrisJ丶德容,1892,这是赛.......？,1149
纯洁善良温柔小绵羊咩,734, ,1150
绝缘_逻辑,69,《原神》开放大世界期待期待呀！  ,1151
可乐沫的夏天,1162,  [doge],1152
可乐沫的夏天,1162,  ,1153
鸥洗恩,379,是网游吗？,1154
我超级喜欢华子哥哥,1170,  ,1155
超级抠的华子的同事,32,  ,1156
硅基狂潮,1874,来了来了,1157
剑魔小姐月光加冕,1762,呜呜呜你妈没了,1158
李老白他她弟,1963,生死有命富贵在天,1159
MISakamikoto20001,1414,真的流批！,1160
明眸皓月_,1947,   希望中奖啊qaq,1161
hikikomori咯,650,  那就一人一个ps4吧,1162
作死还是不会死,1688,拉低中奖率  一起来呀,1163
星冉泽银,1002,  ,1164
神烦g916,2061,      牛批，没了,1165
无以言语的弱,2304,  leile leile,1166
名叫菜月昴的骑士,901,  ,1167
寂灭千星_776,956, ,1168
嚻嚻94746,2364,给我也整一个  ,1169
白鹤行云,501,来了，碰瓷宣传[二哈],1170
最喜欢大家了呢,2275,我想要资格.jpg,1171
谁染青衣沫肆雪,1506, ,1172
谁染青衣沫肆雪,1506,球中奖啊！ 大哥大姐！,1173
sakidoki,1210,ps4终于能玩塞尔达了[doge][doge][doge],1174
yilililii,865,[龇牙咧嘴],1175
MO_o233,752,期待原神很久了  米哈游牛批   ,1176
活死_猫,1080, ,1177
心镜D,1511, ,1178
全都给我木达木达,1215,我就想要个ps4 pro  ,1179
春和景明云淡风清,1167,喜欢 ,1180
余尧吉,207,   [好爱哦]这么棒,1181
侯富友1999,1990,  我要玩内测,1182
真新镇的大木博士,540,  重在参与,1183
梓潇想有猫,2076,这看起来像塞尔达加古墓丽影加奥德赛,1184
奶爸雪过云清,131,抽奖来点测试资格啊，，很期待！ ,1185
零一灵依泠,1786,  ,1186
娱乐用万能天使,1442,    期待米哈游新作  单凭美工便足以让人为之买单的优质作品,1187
永远都是温迪厨,1715,  试图安利给太太,1188
好帅的沉沦啊,2306,转发微博,1189
艾薰-艾拉拉拉链,2296,某些玩家真优越嗷，连蛙泳和攀爬动作也变成塞尔达原创了的哦[二哈],1190
-夫_子-,167,    官方给个测试资格[鲜花]万分感谢[鲜花][鲜花][鲜花],1191
殇璃51089,2558,   ,1192
孤鸟独帆,972,腾讯可是知道两手准备的，知道搞竞品那一套在当今版权意识强的情况下已经没用了，所以花重金养着其他的能出  见  这种游戏的工作室，呵呵，结果你们玩人家玩剩下的，就不怕掉里?,1193
无世玉,2708,  我只想要派蒙抱枕[doge] ,1194
残月SongYT,2595,  期待米哈游新游！,1195
一条坠子,741,您这么赤裸裸照搬要脸吗,1196
叫我夜哩,1288,看起来不错,1197
春寒故梦,2045,总要抱着希望  ,1198
小温迪的哥哥,2610,原神PV很棒！    保佑我偶一次吧！,1199
三釖瑬,1227,  求原神测试服,1200
南轲太守,1111,  我能欧一波么,1201
蓝猫是尼玛,380,水军多少钱请的[doge],1202
离坤晋也,1622,  快看，啥游戏出了,1203
没有昵称的zyk,1174,  嘿嘿，借你一用,1204
張家_四少,461,  ,1205
Eruion0,1153,  ,1206
PM训练家Damian,495,看这种宣传就心痛 一方面希望国产越来越好很想支持 另一方面看这无下限的抄袭真是从心底觉得恶心 就凭你米忽悠的美工好好做个原创我们肯定大力支持 非要走邪路干什么？伤主机玩家的心可不像氪金手游那样能接着割韭菜 主机想找替代品那太容易了,1207
青槐大大,2438,  我觉得抄袭应该算不上的吧，米哈游不可能会故意往枪口上撞，游戏没发布之前为什么要喷啊------我想要内测码啊！！,1208
爱吃鸡的郝神,1614,米哈呦 必属精品  ,1209
改了名儿也像个水军,375,   ,1210
陈塘关首富之妻,767,  ,1211
kirito_aliez,2692,总之游戏还没出 希望能跟塞达尔比较能有让人眼前一亮的东西吧,1212
Superboy_zxw,1982,  [兔子],1213
狼眼D,2354,我以为这游戏要上steam,1214
不思者不语,119,  过来打个酱油,1215
梦世一生,2194,支持我没有玩过塞尔达但是游戏还没有出来就狂喷是不是不太好,1216
SkyForest233,687,为什么不送ns？,1217
赵琦先森,920,666,1218
瓶踏沧澜,2639,刚吧跌,1219
好运爆棚女孩,376, ,1220
knight-妖梦,1278,这是！,1221
正月十五不圆吾宵,2603,  ,1222
酒里一碗鱼,1881,各位别喷了，这是碰瓷营销，故意把PV做得和塞尔达雷同，等热度起来后再公布实际演示，然后发现和塞尔达完全不同，这样又成国产之光了，还能给任粉扣上喷子的帽子,1223
飞天的虾族,1572,预约送大师级吗？再不济送几个生命榴莲啊,1224
不如吃泡面,1358,为什么一等奖不抽ns，ns这么没牌面吗[doge],1225
念穰,1973,看看taptap上面那帮洗地rz，,1226
神秘绅士男,524,  支持支持,1227
切捨y,2505,小粉丝快出来洗地呀！！！快来压评论呀！！[可怜][可怜],1228
啊啊啊啊爵,1861,好消息是：策划还有时间改改主线，千万别是救公主什么的，当时候真的锤的你妈都没了,1229
北冰暖羊,1783,建议直接登陆ns，学学人家海之号角,1230
福伯顿先生,1136,      冲冲冲,1231
猴猴我啊想飞,178,   冲啊  米和油,1232
GiarlDxin,39,林克 林克 睁开眼睛,1233
o唯爱V,1127,  ,1234
别让昨天在泥巴里打滚,1084,   拉低中奖率,1235
我好像重生啊啊啊,2580,  ,1236
monster与生活,2280,想玩一下,1237
monster与生活,2280,。。。。emmm,1238
不知名赌狗,2646,  ,1239
玻色子啵啵,2694,喷的就别转发了[酸],1240
芫荽梗儿,576, ,1241
-七星璨璨凝流光-,989,  终于等到了,1242
三仙尼,1862,  爱嘹,1243
任天堂switch俱乐部,2198,   这很塞尔达！,1244
空空今天养乐多了吗,5,我要玩个影舞者[喵喵][喵喵][喵喵],1245
山水情缘花,2026,  ,1246
道士下山泡尼姑,2460,好东西要一起分享 ,1247
道士下山泡尼姑,2460,好东西要一起分享,1248
gadabout,913,   ,1249
越来越可爱的Moe,2454,   赐我欧气吧,1250
HOOD丶,1989,  感觉抽不到,1251
老用户之路,572,  ,1252
离涯眦,2436,期待新游 ,1253
什么样的昵称算可用,2177,没玩过塞尔达，原神如果好玩质量高我就玩,1254
吃货千金妈妈,620,  ,1255
落霞艳,614, ,1256
Mega_Empire,1592,爬，给爷爬,1257
狂小鑫OvO,2238,你妈死了,1258
祁白白吖,1247,   诶嘿  [二哈],1259
十六夜小黑,1263,给我个测试资格[二哈]想画点同人试试看......,1260
桐人·MickeyChan,299,游戏还没出来，就先不评价游戏。我就点艹这个PV了，真实恶心。[费解],1261
桐人·MickeyChan,299,这个开头[二哈][二哈][二哈]是你，林克！,1262
麒星兔照,261,  ,1263
魔法使Yozawa,1818,拉低中奖率，期待，想中奖。,1264
执伞斩雨,2525,米忽悠就是想学一下蔡徐坤的路子,1265
任胖AWSL,233,哈哈哈 画质好啊,1266
joy1959,1928, ,1267
被子好冷,479, ,1268
MicroBlog神奈,1528,陪我一起玩原神吧[喵喵][喵喵][喵喵]  ,1269
佯嫚,1225,  ,1270
樱下尸骨,2432,期待原神的上架，希望我这次有幸能获得内测资格。,1271
爱羽之殇,1940,是时候展示欧皇的魅力了,1272
中华家的窝窝头,1244,  米忽悠牛批噢！已经预约了噢！不知道能不能上PS4呢[许愿][许愿][许愿]我买PS4就是为了玩原神！[太开心][太开心][太开心],1273
ShangDie1,2079,抄塞尔达还不抽个NS，抽PS4？,1274
一只红中君丶,305,  滋辞米哈游，[鼓掌][鼓掌][鼓掌]拉低中奖率,1275
土豆番茄糖三勺,822,  [加油],1276
DIEE_HAHAHA,277,  ,1277
转发抽奖搜罗,1513,#转发抽奖搜罗[超话]#,1278
那无法触摸之人,2444, ,1279
把记忆结成冰zz,114,首测全部才1000个名额也太少了吧，别人小厂测试都能出一万个名额以上，你们米哈游几万个名额承受不住？？？搞个活动才发几十个名额，看着都寒酸。,1280
爱榭,732,  ,1281
温暖atatagai,2113,  ,1282
温暖atatagai,2113,我的手已经抓住原神的未来了，测试资格我收下了！,1283
竹蜻蜓QaQ,2300,联机塞尔达快来啊！,1284
把记忆结成冰zz,114, ,1285
C子嘟噜噜噜噜噜,589,笑死了，真够骚的，抄塞尔达，你抽奖还送ps4，太讽刺了吧[赞],1286
___屉攸___,1381,有啥可喷的嘛，爱玩玩不玩滚，真如果涉及抄袭老任那样能不管？米忽悠家的游戏质量，吹爆！,1287
呆萌的Low狸,1933,不说其他的，游戏要做的好玩，有游戏性就可以，加油吧，希望能得到优质的游戏体验。[二哈],1288
suhgr,1823,虽然不配中奖，但还是转一下[跪了],1289
桃小桃-Hestia,2582,  ,1290
KARAKA3,714,不是很明白一些评论，动画渲染=塞尔达？,1291
MSK-友人A-,44,这是手游吗,1292
Toshinmaro,52,听说这波PV抄袭是碰瓷营销，避个雷，祝早日凉凉[微笑],1293
uuuuundemo,828,   首测[跪了][跪了],1294
雪原月,2345,服了服了，就算说点草起风滑翔伞最早也是育碧波斯王子刺客信条也没塞尔达的事，这优越感，学到新词了，万物起源塞尔达,1295
秋庭玲奈,2534,想要。。。想中奖,1296
郝铁蛋er,695,  [摊手],1297
Mercury_阿凉,435,？你们都没玩过塞尔达吗,1298
常在瑶心,2149,米哈游大伟哥牛皮,1299
某堡颜值担当,1975,我从来没见过这么好玩的游戏，但是没有苹果手机和电脑，只有ns，期待原神上ns[太开心][太开心][太开心],1300
Nzw_self,1740,"有的评论做游戏真的是张张嘴就出来了[二哈]画风这游戏如果说抄的话,那么多动漫不都是一样的?玩法机制上确实有一样的，不过我只想说客户端大佬是真的NB[二哈]",1301
-乔鲁诺乔巴拿拿-,1289,[可爱]出来抽奖 ,1302
猫的摇篮-伪物,2,真是抄的有水平啊[doge],1303
iJianyx,703,  ,1304
风花雪_越,1700,不得不说，米哈游的画面质量还是高  ,1305
LuvKy_zz,1598,  [太开心],1306
复方晚公子,869,  原神！,1307
浮生梦行1987,557,你们考虑下登录ns吗[doge],1308
梦幻卡多希,2337,好想要,1309
倾城恋怀,2262, ,1310
Booker_Dewitt,1443,  ps4,1311
小猪佩奇配不起,2168,我有生之年居然能再手机上完到塞尔达，谢谢你们了，国产游戏靠你们了，对了你别送ps4了，得送switch应景呀[微笑],1312
zfsnmxn,2013,也太他妈恶心了吧？到现在还洗的要点脸吗？承认抄袭很难？？,1313
0天赋,1478,  ,1314
MYLOLIK,2328,mihayou新作原神好像得到测试资格,1315
喝一壶老酒酒,2044,  ,1316
Alttaboo,2324,  随缘,1317
小张张志祥,74,这不是旷野之息吗？？,1318
不爱发博王左军,166, ,1319
萝布汩汩小屁股,615,吃相难看[吐][吐][吐][吐],1320
一直都是贝极星的捏,982,   玩咯你个铁憨憨,1321
墨色未白,1536,  来来来！,1322
出生就在罗马,129, ,1323
悄然無聲的過客,1214,還真敢抄，真是無語了,1324
满舰饰v,2496,期待一下！,1325
Wlop_ooA,2587,我不管，抄不抄，反正我想玩,1326
虾滑好吃happy,2464,怕了  这辈子不玩国产手游！！,1327
黑米米米米米,723,单机就玩 手游就算逑吧,1328
放逐的阿里萨,1705,GKD  ,1329
景安upup,2541,dn即视感？？？,1330
帅帅阿伟是我,1795,[可爱],1331
不是曾老师,427,  ,1332
鱼仔想想想,1187,你如果只是换皮塞尔达，那对不起别怪我素质差，我要开喷辣,1333
鋼之月面宙反,2292,祝您早日凉透[嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻],1334
张大大大大奔,740,7年老粉求资格！,1335
鋼之月面宙反,2292,但是我能问问你们息吹mod在哪下的吗。有点想导[嘻嘻][嘻嘻][嘻嘻][嘻嘻],1336
鋼之月面宙反,2292,？律师函警告,1337
绿橙酸,543,期待！,1338
最近有点撩频,2463,  我想玩啊,1339
减肥3000天,1147,以吾之厄运为祭品，以吾之厄运为代价。献上鲜血与哀呼，付出心灵与信仰。万能的白前辈在上!请赐予在下力量吧！     ,1340
侧马尾拯救世界,1017,  十厘米不考虑参加一下米忽悠新作吗？,1341
宇智波派大60573,2591,  转发 ,1342
RKtech,677,我甚至觉着更像dn…,1343
yeezzzzzzzzzz,1900,转发  ,1344
奶油苹果派,2001,  行吧,1345
3dmun6Zfan,2009,  ,1346
kahwangtin,644,很多人说像塞尔达....那我就来转发抽奖吧.....  ,1347
ZoCoCo_CN,1393,在我看来《原神》是对《荒野之息》最低劣的抄袭！[微笑]换个人物换个世界观，然后开放世界里的建模场景几乎全部照搬，里面的一花一草一木都让我看到了满满寨版的荒野之息，更别提什么游戏节奏和战斗方式了，这还tm能说是借鉴吗？！不可原谅！最后，请任天堂法务部务必告死它[摊手] ,1348
焦糖海盐啊,2584,  哈哈哈,1349
ZoCoCo_CN,1393,在？为什么抄袭塞尔达？,1350
Cynicus,491,碰瓷碰的脸都不要了，D区[作揖][作揖][作揖],1351
貓與貓尋_inamin,315,[doge]快来吧！  ,1352
不可思尹_,187,  国产版塞尔达[doge][doge],1353
三分归元气少年,359,这是塞尔达新mod吗[doge],1354
哀殿赛高,718,反正 就是抽个奖。让我康康,1355
想和你去冲浪,552,我真8是米卫兵嗷  ,1356
我对利姆露一心一意,1347,   没抗住,1357
数据线纳豆奶奶,397,图片评论,1358
你也不要太伤心了,546,  中,1359
尬舞倾城,2119,冲冲冲  ,1360
于苦酒,1837,  献祭你让我欧一次。[doge],1361
尬舞倾城,2119,冲冲冲,1362
凪椰真栗,930, ,1363
megamimegumi,596,让我恶心,1364
空调还得17度,1241,快，我需要内测资格  嗯，这次不会艾特错了,1365
冰镇羊咩咩,969,评论让我相信了这是一场碰瓷营销嘻嘻,1366
久石淋,1802,  法务部出来干活了！,1367
lkx3377456,19,这TM就是打了mod的塞尔达吧[吐],1368
被玩坏的史莱姆夜,551,= =。。。。为啥不融合进蹦蹦蹦本体里。。。,1369
Manta-lollipop,1156,  老夫的PS4就靠你们了,1370
羽毛herat,2713,求中奖  ,1371
華Karin,1571,期待  ,1372
超级尧宝,2542,想要,1373
落兮陌爱晨,1057,好期待的说呀  ,1374
小欧梦见蜂蜜色的晨曦,1274,你们脸呢？？？？？,1375
三十建构设计工作室,42,  借助一下运气！[偷笑],1376
CLCL青,640,米哈游新作[doge][doge][doge]  ,1377
人间极恶_苏酒肆,1472,咱想要内测资格，我想玩！,1378
互联网我把握不住,597,  雨女无瓜,1379
小白测平,879,抄袭,1380
枫之叶语I,2513,久等了,1381
噗叽Oo噗叽,907,PC官网里，就是一打开网址有个水晶的界面，等上个十多秒，BGM里就出现了最终幻想的水晶序曲。厉害，。，,1382
湖工软件工程1802班团支部,2578,  你觉得是不是你,1383
家住隔壁我姓王--,1542,？？？玩法抄袭很难界定……但是这pv连脸都不要了？？？,1384
出生就在罗马,129,令人作呕[二哈],1385
夕洛lin,1318,[doge][doge]  ,1386
冯彪哥,931,只要别太过分就行，目前只是游戏玩法方面像而已，抄没抄袭还得看具体内容。,1387
momomoheiv,1484,抽奖送ps4笑死了,1388
散落羽翼丿,90, ,1389
38号关系不能控,2187,  ,1390
快门回溯这首歌很好听x,2159,   来看看,1391
给你一个滑稽,2251,  [二哈],1392
日月皆有阴晴圆缺,217,呵呵，模仿的好啊！抄袭？咱可不敢说，告我怎么办呢,1393
我来组成分子,2088,  ,1394
给你一个滑稽,2251,  我要[二哈],1395
哎嗨呦拽,432,  ,1396
为何你的笑百度搜不到lirb,2494,我玩三崩子，也收到过周边，我有switch也玩过塞尔达，站在客观角度来看，很像抄袭，但是我感觉你们应该是来碰瓷的，一是想看看我们对游戏的评价，二是借着“抄袭”蹭一波热度，毕竟我感觉你们应该不会不知道老任的脾气，好自为之吧,1397
盲目愚钝冷眼,936,  我们要发财啦[doge][doge],1398
Luciferbear,13,PS4PRO,1399
Domiso武士,442,    蠢蠢欲动,1400
冲上云霄的派大星,2667,在下来了,1401
kuma_现充中,1169,特意没关注也没at 贵司技术在国内确实上乘 但是并不妨碍除了技术之外的一切都是一坨屎 就算做的再好对于我来说也就只是嗯…塞尔达还原度很高…,1402
风波无痕6071444488,2107,ps4可以想一想 ,1403
ChoiJsen,1106,[悲伤]   ,1404
wow_Yuah,1663,  嘿嘿嘿,1405
吃橘子的布丁,403,测试服资格怎么拿的到哦,1406
吃橘子的布丁,403,呜哇！有pc端！,1407
吃橘子的布丁,403,天我来了！,1408
Bade初,1083,  [二哈][二哈],1409
Bade初,1083,[doge][doge][doge],1410
二年坂的抹茶館,2106,不是我说 这龙长的是真像风漂龙...而且MHWI新出霜翼风漂龙更像,1411
zzzdvvvvvvvvvv,1390,  ,1412
糊糊浃浃,23,是不是有什么毛病，不抄袭不舒服病？[摊手]干脆发售的时候直接卖赛尔达卡带吧[嘻嘻],1413
狼姬不是変態,933,我只想撸树  ,1414
strong_nn,453,  来玩来玩,1415
美丽玫瑰好好,1615,  ,1416
浩轩Y_Y,979,  ,1417
风眠VIA,2264,想要测试资格，到底真的抄了很多还是自主创新，我要看实物说话。因为还是很喜欢崩坏三，所以不愿意在没有体验过游戏前骂它抄袭[并不简单],1418
UngIlRimOvO,2087,有本事就买断制收费，别弄恶心的氪金手游那套，别玷污“开放世界”,1419
白色豹IIA7,2244,丢人 真的丢人,1420
ARZyyyyyyyy,1827,索尼曲线救国？,1421
拉布拉多大王,763,你怎么不送ns加塞尔达呢？好让大家知道塞尔达抄了你的原神呢[doge][doge],1422
伪装成锦鲤的咸鱼77664,2638,仔细看一分十秒的极限闪避，那只怪像不像海拉鲁的独眼巨人,1423
螺旋藻HZ,2162,做的真的好棒棒哦，建议最先发布switch版本。,1424
NeogrePrime,2028, ,1425
小小酥CASTE,1605,    这发了几条了啊,1426
MR_YGL,258,  ,1427
惹完我宝一定要立刻哄,1814,抄袭真开心,1428
那云真白蓝真天,2585,不是啊，老哥老姐们，咱们喷就不要转发抽奖啊。 你们这一边喷一遍转发抽奖，算啥？嘴上说着不要身体很诚实？ 我个人愚见，等21号，等测试，肯定有大佬们能py到资格的，看他们发的视频和直播，现在立马开始喷有点为时过早了。最后某些人的嘴我个人希望能干净点,1429
伪装成锦鲤的咸鱼77664,2638,原罪传说：荒野之息,1430
合金装甲布狼牙,1704,会在steam登陆吗 好期待啊,1431
xxxSickoxxx,2193,我懂了，我们氪进去的钱拿进去让你们搞成这种东西了[太开心][太开心][太开心],1432
粗超人,169,吐痰,1433
4K包子,10,  ,1434
